Data set,Best solution,Generation,Time
berlin52,8430.779247015145,600,7.745141744613647
berlin52,8376.106255020624,600,7.748288869857788
berlin52,8369.475398369634,600,7.836491107940674
berlin52,8358.144286598681,600,7.749200820922852
berlin52,8194.732235689748,600,7.7579638957977295
berlin52,8126.505676013436,600,7.7791759967803955
berlin52,8091.818666833402,600,7.750946044921875
berlin52,8074.721482106799,600,8.137233018875122
berlin52,8043.481739396968,600,7.850980997085571
berlin52,7774.924435916085,600,7.740256071090698
