Data set,Best solution,Generation,Time
kroA100,44737.46282357526,200,6.727550983428955
kroA100,44262.80228871384,200,6.757925033569336
kroA100,44013.589634108816,200,6.751431941986084
kroA100,43436.35011062121,200,6.769484996795654
kroA100,43261.787704936505,200,6.77428412437439
kroA100,42243.65781291434,200,6.767749309539795
kroA100,42169.66145525029,200,6.770696878433228
kroA100,42035.944546231454,200,6.753317832946777
kroA100,41255.20117778567,200,7.100935935974121
kroA100,40538.11442083083,200,6.849549055099487
kroA100,35251.39771462976,400,13.473094940185549
kroA100,34893.06368148792,400,13.591318130493164
kroA100,34210.22217287632,400,13.595907926559448
kroA100,33449.65070781506,400,13.60301399230957
kroA100,33368.39084813926,400,14.117581129074097
kroA100,32326.95187823912,600,20.11353182792664
kroA100,31932.522382628063,400,14.090636730194092
kroA100,31242.67662766192,400,13.642833709716797
kroA100,31237.329960687075,400,13.45199418067932
kroA100,31219.60595327231,400,13.50969099998474
kroA100,30986.1748827964,600,20.184627056121823
kroA100,30770.659804477644,600,20.28812599182129
kroA100,30719.60021318143,600,20.134021043777462
kroA100,30709.66424765442,600,20.19458603858948
kroA100,30264.708970842683,600,20.022750854492188
kroA100,30147.95064866273,400,13.560268878936768
kroA100,29599.9871970688,600,20.156306982040405
kroA100,29261.91753858174,600,20.214671850204468
kroA100,29257.00570895329,600,20.08927321434021
kroA100,28967.192250049804,800,26.896339893341064
kroA100,28491.45654967688,800,26.866350173950195
kroA100,28155.0631612231,800,26.99594020843506
kroA100,27990.615341700515,800,27.48868584632873
kroA100,27962.828137585693,800,26.791619777679443
kroA100,27412.116409875533,1000,33.58660197257996
kroA100,27324.572098200013,1000,34.46073126792908
kroA100,27302.89175381853,800,26.959848880767822
kroA100,27135.07622271537,800,26.89078664779663
kroA100,27082.70385328236,1000,33.50401425361633
kroA100,26912.41026167822,600,20.14151287078857
kroA100,26671.023722501097,800,26.84178590774536
kroA100,26448.590634120734,800,26.918527841568
kroA100,26231.330268234145,1000,33.60627317428589
kroA100,26098.03990971081,1000,33.6851909160614
kroA100,26076.725865747416,1000,34.60198903083801
kroA100,26072.93817701932,800,26.824766874313354
kroA100,26003.85651909528,1000,33.50203800201416
kroA100,25713.220662217915,1000,33.50730490684509
kroA100,25534.03844976205,1000,33.594277143478394
kroA100,25393.563022372025,1000,33.55474519729614
